Model,Horizon,Fold,Test Start,Test End,AUC,Threshold
XGBoost,1,2,2017-10-06,2017-12-29,0.5139043381535039,0.6
XGBoost,1,3,2018-01-01,2018-03-23,0.43657142857142855,0.6
XGBoost,1,4,2018-03-26,2018-06-15,0.49371428571428566,0.56
XGBoost,1,5,2018-06-18,2018-09-07,0.4304783092324805,0.56
XGBoost,1,6,2018-09-10,2018-11-30,0.5122222222222222,0.56
XGBoost,1,7,2018-12-03,2019-02-22,0.5245535714285714,0.58
XGBoost,1,8,2019-02-25,2019-05-17,0.34888888888888886,0.54
XGBoost,1,9,2019-05-20,2019-08-12,0.4352678571428571,0.52
XGBoost,1,10,2019-08-13,2019-11-04,0.4799999999999999,0.6
XGBoost,1,11,2019-11-05,2020-01-27,0.44419642857142855,0.6
XGBoost,1,12,2020-01-28,2020-04-20,0.5379464285714286,0.5
XGBoost,1,13,2020-04-21,2020-07-13,0.44457013574660637,0.54
XGBoost,1,14,2020-07-14,2020-10-05,0.44230769230769235,0.56
XGBoost,1,15,2020-10-06,2020-12-28,0.5055803571428572,0.58
XGBoost,1,16,2020-12-29,2021-03-22,0.4961067853170189,0.5
XGBoost,1,17,2021-03-23,2021-06-14,0.5366666666666667,0.6
XGBoost,1,18,2021-06-15,2021-09-06,0.5714285714285714,0.6
XGBoost,1,19,2021-09-07,2021-11-29,0.502262443438914,0.54
XGBoost,1,20,2021-11-30,2022-02-21,0.5746352413019079,0.54
XGBoost,1,21,2022-02-22,2022-05-16,0.5276145710928319,0.52
XGBoost,1,22,2022-05-17,2022-08-08,0.6062291434927697,0.52
XGBoost,1,23,2022-08-09,2022-10-31,0.5791855203619909,0.54
XGBoost,1,24,2022-11-01,2023-01-23,0.4006734006734006,0.5
XGBoost,1,25,2023-01-24,2023-04-17,0.49499443826473866,0.52
XGBoost,1,26,2023-04-18,2023-07-10,0.712682379349046,0.5
XGBoost,1,27,2023-07-11,2023-10-02,0.4441964285714286,0.5
XGBoost,1,28,2023-10-03,2023-12-25,0.5916289592760181,0.58
XGBoost,1,29,2023-12-26,2024-03-18,0.6227678571428572,0.58
XGBoost,1,30,2024-03-19,2024-06-10,0.5714285714285715,0.5
XGBoost,1,31,2024-06-11,2024-09-02,0.5108571428571429,0.5
XGBoost,1,32,2024-09-03,2024-11-25,0.40415140415140416,0.56
XGBoost,1,33,2024-11-26,2025-02-18,0.4151785714285714,0.5
