Feature Set,Model,Fold,Test Start,Test End,AUC
Technical Only,XGBoost,25,2016-06-09,2016-08-31,0.5472747497219133
Technical Only,Logistic Regression,26,2016-09-01,2016-11-23,0.5793184488836663
Technical Only,Random Forest,26,2016-09-01,2016-11-23,0.5146886016451233
Technical Only,XGBoost,26,2016-09-01,2016-11-23,0.5158636897767332
Technical Only,Logistic Regression,27,2016-11-24,2017-02-15,0.6040044493882091
Technical Only,Random Forest,27,2016-11-24,2017-02-15,0.5461624026696329
Technical Only,XGBoost,27,2016-11-24,2017-02-15,0.47385984427141264
Technical Only,Logistic Regression,28,2017-02-16,2017-05-10,0.5382857142857143
Technical Only,Random Forest,28,2017-02-16,2017-05-10,0.48914285714285716
Technical Only,XGBoost,28,2017-02-16,2017-05-10,0.4742857142857143
Technical Only,Logistic Regression,29,2017-05-11,2017-08-03,0.5915178571428572
Technical Only,Random Forest,29,2017-05-11,2017-08-03,0.5636160714285714
Technical Only,XGBoost,29,2017-05-11,2017-08-03,0.5379464285714286
Technical Only,Logistic Regression,30,2017-08-04,2017-10-26,0.7755331088664422
Technical Only,Random Forest,30,2017-08-04,2017-10-26,0.6722783389450057
Technical Only,XGBoost,30,2017-08-04,2017-10-26,0.4680134680134681
Technical Only,Logistic Regression,31,2017-10-27,2018-01-19,0.47209821428571436
Technical Only,Random Forest,31,2017-10-27,2018-01-19,0.4397321428571428
Technical Only,XGBoost,31,2017-10-27,2018-01-19,0.5457589285714286
Technical Only,Logistic Regression,32,2018-01-22,2018-04-13,0.46576879910213254
Technical Only,Random Forest,32,2018-01-22,2018-04-13,0.5375982042648709
Technical Only,XGBoost,32,2018-01-22,2018-04-13,0.46913580246913583
Technical Only,Logistic Regression,33,2018-04-16,2018-07-06,0.4490950226244344
Technical Only,Random Forest,33,2018-04-16,2018-07-06,0.4298642533936652
Technical Only,XGBoost,33,2018-04-16,2018-07-06,0.4785067873303167
Technical Only,Logistic Regression,34,2018-07-09,2018-09-28,0.43715239154616237
Technical Only,Random Forest,34,2018-07-09,2018-09-28,0.45494994438264735
Technical Only,XGBoost,34,2018-07-09,2018-09-28,0.4771968854282536
Technical Only,Logistic Regression,35,2018-10-01,2018-12-21,0.5522222222222223
Technical Only,Random Forest,35,2018-10-01,2018-12-21,0.5227777777777778
Technical Only,XGBoost,35,2018-10-01,2018-12-21,0.4666666666666667
Technical Only,Logistic Regression,36,2018-12-24,2019-03-15,0.5301339285714286
Technical Only,Random Forest,36,2018-12-24,2019-03-15,0.5479910714285714
Technical Only,XGBoost,36,2018-12-24,2019-03-15,0.5022321428571428
Technical Only,Logistic Regression,37,2019-03-18,2019-06-10,0.4860956618464961
Technical Only,Random Forest,37,2019-03-18,2019-06-10,0.4271412680756396
Technical Only,XGBoost,37,2019-03-18,2019-06-10,0.4160177975528365
Technical Only,Logistic Regression,38,2019-06-11,2019-09-02,0.5430622009569378
Technical Only,Random Forest,38,2019-06-11,2019-09-02,0.47547846889952156
Technical Only,XGBoost,38,2019-06-11,2019-09-02,0.5861244019138756
Technical Only,Logistic Regression,39,2019-09-03,2019-11-25,0.5485714285714286
Technical Only,Random Forest,39,2019-09-03,2019-11-25,0.5257142857142857
