date,event,actual,forecast,previous,eu_core_cpi_surprise,eu_core_cpi_available
2025-01-07,Core CPI Flash Estimate y/y,2.7,2.7,2.7,0.0,1
2025-02-03,Core CPI Flash Estimate y/y,2.7,2.6,2.7,0.10000000000000009,1
2025-03-03,Core CPI Flash Estimate y/y,2.6,2.5,2.7,0.10000000000000009,1
2025-04-01,Core CPI Flash Estimate y/y,2.4,2.5,2.6,-0.10000000000000009,1
2025-05-02,Core CPI Flash Estimate y/y,2.7,2.5,2.4,0.20000000000000018,1
2025-06-03,Core CPI Flash Estimate y/y,2.3,2.4,2.7,-0.10000000000000009,1
2025-07-01,Core CPI Flash Estimate y/y,2.3,2.3,2.3,0.0,1
2025-08-01,Core CPI Flash Estimate y/y,2.3,2.3,2.3,0.0,1
2025-09-02,Core CPI Flash Estimate y/y,2.3,2.2,2.3,0.09999999999999964,1
2025-10-01,Core CPI Flash Estimate y/y,2.3,2.3,2.3,0.0,1
2025-10-31,Core CPI Flash Estimate y/y,2.4,2.3,2.4,0.10000000000000009,1
2025-12-02,Core CPI Flash Estimate y/y,2.4,2.4,2.4,0.0,1
