Feature Set,Model,Features,Train AUC,Test AUC,AUC Gap,Accuracy,Balanced Accuracy
Technical Only,Logistic Regression,20,0.5409504238836573,0.4825296760780632,0.05842074780559414,0.4883720930232558,0.4887622113428565
Technical Only,Random Forest,20,0.5820835634767806,0.5020767665928956,0.08000679688388501,0.49471458773784355,0.4934612031386225
Technical Only,XGBoost,20,0.882297226134894,0.4960275411888315,0.3862696849460625,0.48625792811839325,0.48661167370844793
Event Only,Logistic Regression,28,0.5313367235072015,0.535863903605839,-0.004527180098637507,0.5158562367864693,0.5161111483692129
Event Only,Random Forest,28,0.5683910776533371,0.5522969619743813,0.0160941156789558,0.5158562367864693,0.5084210761630117
Event Only,XGBoost,28,0.650523887630678,0.5240873627970402,0.12643652483363788,0.5158562367864693,0.5177922339212662
Hybrid,Logistic Regression,48,0.5580602251124694,0.5071423781101201,0.05091784700234936,0.5021141649048626,0.5026691704111059
Hybrid,Random Forest,48,0.5857692163482713,0.5308854760467664,0.05488374030150489,0.514799154334038,0.5126752062235933
Hybrid,XGBoost,48,0.8826581805992292,0.5264838039031587,0.35617437669607044,0.5200845665961945,0.5203049203049204
