date,event,canonical_event,actual,forecast,previous,surprise,surprise_available
2008-04-04,Non-Farm Employment Change,us_nfp,-80.0,-50.0,-76.0,-30.0,1
2008-04-10,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2008-04-16,CPI m/m,us_cpi,0.3,0.3,0.0,0.0,1
2008-04-30,CPI Flash Estimate y/y,eu_cpi,3.3,3.4,3.6,-0.10000000000000009,1
2008-05-01,Federal Funds Rate,us_fomc,2.0,2.0,2.25,0.0,1
2008-05-02,Non-Farm Employment Change,us_nfp,-20.0,-80.0,-81.0,60.0,1
2008-05-08,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2008-05-14,CPI m/m,us_cpi,0.2,0.3,0.3,-0.09999999999999998,1
2008-05-30,CPI Flash Estimate y/y,eu_cpi,3.6,3.5,3.3,0.10000000000000009,1
2008-06-05,Main Refinancing Rate,ecb_rate,4.0,4.0,4.0,0.0,1
2008-06-06,Non-Farm Employment Change,us_nfp,-49.0,-57.0,-28.0,8.0,1
2008-06-13,CPI m/m,us_cpi,0.6,0.5,0.2,0.09999999999999998,1
2008-06-26,Federal Funds Rate,us_fomc,2.0,2.0,2.0,0.0,1
2008-06-30,CPI Flash Estimate y/y,eu_cpi,4.0,3.9,3.7,0.10000000000000009,1
2008-07-03,Main Refinancing Rate,ecb_rate,4.25,4.25,4.0,0.0,1
2008-07-03,Non-Farm Employment Change,us_nfp,-62.0,-60.0,-62.0,-2.0,1
2008-07-16,CPI m/m,us_cpi,1.1,0.7,0.6,0.40000000000000013,1
2008-07-31,CPI Flash Estimate y/y,eu_cpi,4.1,4.1,4.0,0.0,1
2008-08-01,Non-Farm Employment Change,us_nfp,-51.0,-75.0,-51.0,24.0,1
2008-08-06,Federal Funds Rate,us_fomc,2.0,2.0,2.0,0.0,1
2008-08-07,Main Refinancing Rate,ecb_rate,4.25,4.25,4.25,0.0,1
2008-08-14,CPI m/m,us_cpi,0.8,0.4,1.1,0.4,1
2008-08-29,CPI Flash Estimate y/y,eu_cpi,3.8,3.9,4.0,-0.10000000000000009,1
2008-09-04,Main Refinancing Rate,ecb_rate,4.25,4.25,4.25,0.0,1
2008-09-05,Non-Farm Employment Change,us_nfp,-84.0,-73.0,-60.0,-11.0,1
2008-09-16,CPI m/m,us_cpi,-0.1,0.0,0.8,-0.1,1
2008-09-17,Federal Funds Rate,us_fomc,2.0,2.0,2.0,0.0,1
2008-09-30,CPI Flash Estimate y/y,eu_cpi,3.6,3.6,3.8,0.0,1
2008-10-02,Main Refinancing Rate,ecb_rate,4.25,4.25,4.25,0.0,1
2008-10-03,Non-Farm Employment Change,us_nfp,-159.0,-100.0,-73.0,-59.0,1
2008-10-08,Main Refinancing Rate,ecb_rate,3.75,,4.25,,0
2008-10-08,Federal Funds Rate,us_fomc,1.5,,2.0,,0
2008-10-16,CPI m/m,us_cpi,0.0,0.1,-0.1,-0.1,1
2008-10-30,Federal Funds Rate,us_fomc,1.0,1.0,1.5,0.0,1
2008-10-31,CPI Flash Estimate y/y,eu_cpi,3.2,3.2,3.6,0.0,1
2008-11-06,Main Refinancing Rate,ecb_rate,3.25,3.25,3.75,0.0,1
2008-11-07,Non-Farm Employment Change,us_nfp,-240.0,-200.0,-284.0,-40.0,1
2008-11-19,CPI m/m,us_cpi,-1.0,-0.8,0.0,-0.19999999999999996,1
2008-11-28,CPI Flash Estimate y/y,eu_cpi,2.1,2.4,3.2,-0.2999999999999998,1
2008-12-04,Main Refinancing Rate,ecb_rate,2.5,2.75,3.25,-0.25,1
2008-12-05,Non-Farm Employment Change,us_nfp,-533.0,-320.0,-320.0,-213.0,1
2008-12-16,CPI m/m,us_cpi,-1.7,-1.2,-1.0,-0.5,1
2008-12-17,Federal Funds Rate,us_fomc,0.25,0.5,1.0,-0.25,1
