Feature Set,Model,Fold,Test Start,Test End,AUC
Baseline Hybrid,Logistic Regression,1,2010-11-30,2011-02-21,0.5791855203619909
Baseline Hybrid,Random Forest,1,2010-11-30,2011-02-21,0.5633484162895926
Baseline Hybrid,XGBoost,1,2010-11-30,2011-02-21,0.40271493212669685
Baseline Hybrid,Logistic Regression,2,2011-02-22,2011-05-16,0.512
Baseline Hybrid,Random Forest,2,2011-02-22,2011-05-16,0.5931428571428571
Baseline Hybrid,XGBoost,2,2011-02-22,2011-05-16,0.6182857142857143
Baseline Hybrid,Logistic Regression,3,2011-05-17,2011-08-08,0.4872080088987764
Baseline Hybrid,Random Forest,3,2011-05-17,2011-08-08,0.48609566184649616
Baseline Hybrid,XGBoost,3,2011-05-17,2011-08-08,0.42936596218020023
Baseline Hybrid,Logistic Regression,4,2011-08-09,2011-10-31,0.5533333333333332
Baseline Hybrid,Random Forest,4,2011-08-09,2011-10-31,0.45222222222222225
Baseline Hybrid,XGBoost,4,2011-08-09,2011-10-31,0.42888888888888893
Baseline Hybrid,Logistic Regression,5,2011-11-01,2012-01-23,0.49222222222222217
Baseline Hybrid,Random Forest,5,2011-11-01,2012-01-23,0.48111111111111116
Baseline Hybrid,XGBoost,5,2011-11-01,2012-01-23,0.53
Baseline Hybrid,Logistic Regression,6,2012-01-24,2012-04-16,0.6133333333333333
Baseline Hybrid,Random Forest,6,2012-01-24,2012-04-16,0.5855555555555556
Baseline Hybrid,XGBoost,6,2012-01-24,2012-04-16,0.5
Baseline Hybrid,Logistic Regression,7,2012-04-17,2012-07-09,0.4888366627497062
Baseline Hybrid,Random Forest,7,2012-04-17,2012-07-09,0.49823736780258515
Baseline Hybrid,XGBoost,7,2012-04-17,2012-07-09,0.6169212690951822
Baseline Hybrid,Logistic Regression,8,2012-07-10,2012-10-01,0.44668911335578
Baseline Hybrid,Random Forest,8,2012-07-10,2012-10-01,0.4590347923681257
Baseline Hybrid,XGBoost,8,2012-07-10,2012-10-01,0.3658810325476992
Baseline Hybrid,Logistic Regression,9,2012-10-02,2012-12-25,0.5917686318131257
Baseline Hybrid,Random Forest,9,2012-10-02,2012-12-25,0.4115684093437152
Baseline Hybrid,XGBoost,9,2012-10-02,2012-12-25,0.4582869855394883
Baseline Hybrid,Logistic Regression,10,2012-12-26,2013-03-19,0.4449388209121246
Baseline Hybrid,Random Forest,10,2012-12-26,2013-03-19,0.43047830923248054
Baseline Hybrid,XGBoost,10,2012-12-26,2013-03-19,0.3314794215795328
Baseline Hybrid,Logistic Regression,11,2013-03-20,2013-06-11,0.624
Baseline Hybrid,Random Forest,11,2013-03-20,2013-06-11,0.6811428571428572
Baseline Hybrid,XGBoost,11,2013-03-20,2013-06-11,0.5874285714285714
Baseline Hybrid,Logistic Regression,12,2013-06-12,2013-09-03,0.5669642857142857
Baseline Hybrid,Random Forest,12,2013-06-12,2013-09-03,0.4609375
Baseline Hybrid,XGBoost,12,2013-06-12,2013-09-03,0.4966517857142857
Baseline Hybrid,Logistic Regression,13,2013-09-04,2013-11-27,0.5143540669856459
Baseline Hybrid,Random Forest,13,2013-09-04,2013-11-27,0.631578947368421
Baseline Hybrid,XGBoost,13,2013-09-04,2013-11-27,0.5980861244019138
Baseline Hybrid,Logistic Regression,14,2013-11-28,2014-02-19,0.578125
Baseline Hybrid,Random Forest,14,2013-11-28,2014-02-19,0.6183035714285715
Baseline Hybrid,XGBoost,14,2013-11-28,2014-02-19,0.5680803571428571
Baseline Hybrid,Logistic Regression,15,2014-02-20,2014-05-14,0.3846153846153846
Baseline Hybrid,Random Forest,15,2014-02-20,2014-05-14,0.4807692307692307
Baseline Hybrid,XGBoost,15,2014-02-20,2014-05-14,0.4898190045248869
Baseline Hybrid,Logistic Regression,16,2014-05-15,2014-08-06,0.46412037037037035
Baseline Hybrid,Random Forest,16,2014-05-15,2014-08-06,0.5688657407407408
Baseline Hybrid,XGBoost,16,2014-05-15,2014-08-06,0.6099537037037037
Baseline Hybrid,Logistic Regression,17,2014-08-07,2014-10-29,0.5937149270482603
Baseline Hybrid,Random Forest,17,2014-08-07,2014-10-29,0.6195286195286196
Baseline Hybrid,XGBoost,17,2014-08-07,2014-10-29,0.5858585858585859
Baseline Hybrid,Logistic Regression,18,2014-10-30,2015-01-21,0.5657142857142856
Baseline Hybrid,Random Forest,18,2014-10-30,2015-01-21,0.5920000000000001
Baseline Hybrid,XGBoost,18,2014-10-30,2015-01-21,0.5782857142857143
Baseline Hybrid,Logistic Regression,19,2015-01-22,2015-04-15,0.580316742081448
Baseline Hybrid,Random Forest,19,2015-01-22,2015-04-15,0.5859728506787331
Baseline Hybrid,XGBoost,19,2015-01-22,2015-04-15,0.5520361990950227
Baseline Hybrid,Logistic Regression,20,2015-04-16,2015-07-08,0.44160177975528364
Baseline Hybrid,Random Forest,20,2015-04-16,2015-07-08,0.4682981090100111
Baseline Hybrid,XGBoost,20,2015-04-16,2015-07-08,0.4193548387096774
Baseline Hybrid,Logistic Regression,21,2015-07-09,2015-09-30,0.575083426028921
Baseline Hybrid,Random Forest,21,2015-07-09,2015-09-30,0.592880978865406
Baseline Hybrid,XGBoost,21,2015-07-09,2015-09-30,0.48720800889877647
Baseline Hybrid,Logistic Regression,22,2015-10-01,2015-12-23,0.6417410714285714
Baseline Hybrid,Random Forest,22,2015-10-01,2015-12-23,0.5625
Baseline Hybrid,XGBoost,22,2015-10-01,2015-12-23,0.6540178571428572
Baseline Hybrid,Logistic Regression,23,2015-12-24,2016-03-16,0.4542410714285714
Baseline Hybrid,Random Forest,23,2015-12-24,2016-03-16,0.49107142857142855
Baseline Hybrid,XGBoost,23,2015-12-24,2016-03-16,0.4296875
Baseline Hybrid,Logistic Regression,24,2016-03-17,2016-06-08,0.44219977553310885
Baseline Hybrid,Random Forest,24,2016-03-17,2016-06-08,0.420314253647587
Baseline Hybrid,XGBoost,24,2016-03-17,2016-06-08,0.48597081930415265
Baseline Hybrid,Logistic Regression,25,2016-06-09,2016-08-31,0.4938820912124583
Baseline Hybrid,Random Forest,25,2016-06-09,2016-08-31,0.6051167964404894
Baseline Hybrid,XGBoost,25,2016-06-09,2016-08-31,0.6351501668520578
Baseline Hybrid,Logistic Regression,26,2016-09-01,2016-11-23,0.5076380728554641
Baseline Hybrid,Random Forest,26,2016-09-01,2016-11-23,0.4952996474735605
Baseline Hybrid,XGBoost,26,2016-09-01,2016-11-23,0.5487661574618096
Baseline Hybrid,Logistic Regression,27,2016-11-24,2017-02-15,0.6184649610678532
Baseline Hybrid,Random Forest,27,2016-11-24,2017-02-15,0.5494994438264739
Baseline Hybrid,XGBoost,27,2016-11-24,2017-02-15,0.4794215795328142
Baseline Hybrid,Logistic Regression,28,2017-02-16,2017-05-10,0.5222857142857142
Baseline Hybrid,Random Forest,28,2017-02-16,2017-05-10,0.5268571428571429
Baseline Hybrid,XGBoost,28,2017-02-16,2017-05-10,0.4091428571428572
Baseline Hybrid,Logistic Regression,29,2017-05-11,2017-08-03,0.5435267857142857
Baseline Hybrid,Random Forest,29,2017-05-11,2017-08-03,0.5044642857142858
Baseline Hybrid,XGBoost,29,2017-05-11,2017-08-03,0.5323660714285715
Baseline Hybrid,Logistic Regression,30,2017-08-04,2017-10-26,0.6464646464646465
Baseline Hybrid,Random Forest,30,2017-08-04,2017-10-26,0.6071829405162739
Baseline Hybrid,XGBoost,30,2017-08-04,2017-10-26,0.5173961840628507
Baseline Hybrid,Logistic Regression,31,2017-10-27,2018-01-19,0.4609375
Baseline Hybrid,Random Forest,31,2017-10-27,2018-01-19,0.41517857142857145
Baseline Hybrid,XGBoost,31,2017-10-27,2018-01-19,0.5200892857142858
Baseline Hybrid,Logistic Regression,32,2018-01-22,2018-04-13,0.39730639730639733
Baseline Hybrid,Random Forest,32,2018-01-22,2018-04-13,0.4994388327721661
Baseline Hybrid,XGBoost,32,2018-01-22,2018-04-13,0.49943883277216616
Baseline Hybrid,Logistic Regression,33,2018-04-16,2018-07-06,0.4502262443438914
Baseline Hybrid,Random Forest,33,2018-04-16,2018-07-06,0.4638009049773756
Baseline Hybrid,XGBoost,33,2018-04-16,2018-07-06,0.41402714932126694
