Fold,Expanding,5-Year Rolling,10-Year Rolling,5Y Minus Expanding,10Y Minus Expanding
1,0.6011428571428571,0.5554285714285714,0.6011428571428571,-0.04571428571428571,0.0
2,0.5189732142857143,0.5301339285714285,0.5625,0.01116071428571419,0.0435267857142857
3,0.4594907407407408,0.4270833333333333,0.42824074074074076,-0.032407407407407496,-0.031250000000000056
4,0.46945701357466063,0.5305429864253394,0.49434389140271495,0.06108597285067874,0.02488687782805432
5,0.45717463848720796,0.4204671857619577,0.4560622914349277,-0.03670745272525028,-0.0011123470522802492
6,0.5844444444444444,0.6244444444444445,0.6344444444444444,0.040000000000000036,0.04999999999999993
7,0.5706340378197998,0.6062291434927698,0.6351501668520578,0.03559510567296997,0.06451612903225801
8,0.5474330357142857,0.5625,0.4877232142857143,0.015066964285714302,-0.0597098214285714
9,0.547699214365881,0.5420875420875421,0.5269360269360269,-0.0056116722783389195,-0.020763187429854058
10,0.5078125,0.5323660714285714,0.5122767857142857,0.024553571428571397,0.004464285714285698
11,0.5491428571428572,0.4674285714285714,0.516,-0.08171428571428574,-0.03314285714285714
12,0.47923681257014594,0.43546576879910215,0.47699214365881026,-0.043771043771043794,-0.002244668911335679
13,0.4612794612794613,0.5072951739618407,0.5072951739618407,0.04601571268237936,0.04601571268237936
14,0.4389140271493214,0.40271493212669685,0.4117647058823529,-0.03619909502262453,-0.02714932126696845
15,0.5915178571428572,0.6897321428571429,0.6205357142857142,0.0982142857142857,0.029017857142856984
16,0.5457589285714286,0.5390625,0.5747767857142856,-0.006696428571428603,0.029017857142856984
17,0.5255555555555556,0.48777777777777775,0.5672222222222222,-0.0377777777777778,0.04166666666666663
18,0.4886877828054299,0.5486425339366515,0.5028280542986424,0.05995475113122162,0.014140271493212508
19,0.417420814479638,0.3800904977375566,0.4852941176470589,-0.037330316742081426,0.06787330316742085
20,0.6774193548387096,0.7897664071190211,0.7196885428253615,0.1123470522803115,0.04226918798665191
21,0.5123384253819037,0.5170387779083431,0.5182138660399529,0.004700352526439411,0.005875440658049236
22,0.5245535714285714,0.4308035714285714,0.49330357142857145,-0.09375,-0.031249999999999944
23,0.5702857142857143,0.5771428571428572,0.5942857142857143,0.006857142857142895,0.02400000000000002
24,0.5072302558398221,0.5750834260289209,0.5150166852057843,0.06785317018909887,0.007786429365962189
25,0.4933035714285714,0.47433035714285715,0.4910714285714286,-0.018973214285714246,-0.0022321428571427937
26,0.49270482603815935,0.3849607182940516,0.5667789001122334,-0.10774410774410775,0.07407407407407407
27,0.4482758620689655,0.5239154616240267,0.4827586206896551,0.07563959955506117,0.03448275862068956
28,0.5667789001122334,0.6251402918069584,0.6206509539842874,0.058361391694724984,0.05387205387205396
29,0.6088888888888889,0.5355555555555556,0.5366666666666666,-0.07333333333333336,-0.0722222222222223
30,0.5542857142857143,0.6240000000000001,0.5691428571428571,0.06971428571428584,0.014857142857142791
31,0.498868778280543,0.583710407239819,0.5373303167420814,0.08484162895927605,0.038461538461538436
32,0.5311355311355311,0.45543345543345537,0.5238095238095238,-0.07570207570207577,-0.0073260073260073
33,0.6083052749719416,0.4826038159371493,0.5757575757575757,-0.12570145903479235,-0.032547699214365955
34,0.5600448933782267,0.49382716049382713,0.5162738496071829,-0.06621773288439958,-0.043771043771043794
35,0.5424107142857142,0.5770089285714286,0.5401785714285714,0.03459821428571441,-0.0022321428571427937
36,0.6173526140155728,0.7296996662958842,0.5895439377085652,0.11234705228031139,-0.027808676307007674
