date,event,actual,forecast,previous,cpi_surprise,cpi_available
2014-08-19,CPI m/m,0.1,0.1,0.3,0.0,1
2014-09-17,CPI m/m,-0.2,0.1,0.1,-0.30000000000000004,1
2014-10-22,CPI m/m,0.1,0.0,-0.2,0.1,1
2014-11-20,CPI m/m,0.0,-0.1,0.1,0.1,1
2014-12-17,CPI m/m,-0.3,-0.1,0.0,-0.19999999999999998,1
2015-01-16,CPI m/m,-0.4,-0.3,-0.3,-0.10000000000000003,1
2015-02-26,CPI m/m,-0.7,-0.6,-0.4,-0.09999999999999998,1
2015-03-24,CPI m/m,0.2,0.2,-0.7,0.0,1
2015-04-17,CPI m/m,0.2,0.2,0.2,0.0,1
2015-05-22,CPI m/m,0.1,0.1,0.2,0.0,1
2015-06-18,CPI m/m,0.4,0.5,0.1,-0.09999999999999998,1
2015-07-17,CPI m/m,0.3,0.3,0.4,0.0,1
2015-08-19,CPI m/m,0.1,0.2,0.3,-0.1,1
2015-09-16,CPI m/m,-0.1,0.0,0.1,-0.1,1
2015-10-15,CPI m/m,-0.2,-0.2,-0.1,0.0,1
2015-11-17,CPI m/m,0.2,0.2,-0.2,0.0,1
2015-12-15,CPI m/m,0.0,0.0,0.2,0.0,1
2016-01-20,CPI m/m,-0.1,0.0,0.0,-0.1,1
2016-02-19,CPI m/m,0.0,-0.1,-0.1,0.1,1
2016-03-16,CPI m/m,-0.2,-0.2,0.0,0.0,1
2016-04-14,CPI m/m,0.1,0.2,-0.2,-0.1,1
2016-05-17,CPI m/m,0.4,0.3,0.1,0.10000000000000003,1
2016-06-16,CPI m/m,0.2,0.3,0.4,-0.09999999999999998,1
2016-07-15,CPI m/m,0.2,0.2,0.2,0.0,1
2016-08-16,CPI m/m,0.0,0.0,0.2,0.0,1
2016-09-16,CPI m/m,0.2,0.1,0.0,0.1,1
2016-10-18,CPI m/m,0.3,0.3,0.2,0.0,1
2016-11-17,CPI m/m,0.4,0.4,0.3,0.0,1
2016-12-15,CPI m/m,0.2,0.2,0.4,0.0,1
2017-01-18,CPI m/m,0.3,0.3,0.2,0.0,1
2017-02-15,CPI m/m,0.6,0.3,0.3,0.3,1
2017-03-15,CPI m/m,0.1,0.0,0.6,0.1,1
2017-04-14,CPI m/m,-0.3,0.0,0.1,-0.3,1
2017-05-12,CPI m/m,0.2,0.3,-0.3,-0.09999999999999998,1
2017-06-14,CPI m/m,-0.1,0.2,0.2,-0.30000000000000004,1
2017-07-14,CPI m/m,0.0,0.1,-0.1,-0.1,1
2017-08-11,CPI m/m,0.1,0.2,0.0,-0.1,1
2017-09-14,CPI m/m,0.4,0.3,0.1,0.10000000000000003,1
2017-10-13,CPI m/m,0.5,0.6,0.4,-0.09999999999999998,1
2017-11-15,CPI m/m,0.1,0.1,0.5,0.0,1
2017-12-13,CPI m/m,0.4,0.4,0.1,0.0,1
2018-01-12,CPI m/m,0.1,0.1,0.4,0.0,1
2018-02-14,CPI m/m,0.5,0.3,0.1,0.2,1
2018-03-13,CPI m/m,0.2,0.2,0.5,0.0,1
2018-04-11,CPI m/m,-0.1,0.0,0.2,-0.1,1
2018-05-10,CPI m/m,0.2,0.3,-0.1,-0.09999999999999998,1
2018-06-12,CPI m/m,0.2,0.2,0.2,0.0,1
2018-07-12,CPI m/m,0.1,0.2,0.2,-0.1,1
2018-08-10,CPI m/m,0.2,0.2,0.1,0.0,1
2018-09-13,CPI m/m,0.2,0.3,0.2,-0.09999999999999998,1
2018-10-11,CPI m/m,0.1,0.2,0.2,-0.1,1
2018-11-14,CPI m/m,0.3,0.3,0.1,0.0,1
2018-12-12,CPI m/m,0.0,0.0,0.3,0.0,1
2019-01-11,CPI m/m,-0.1,-0.1,0.0,0.0,1
2019-02-13,CPI m/m,0.0,0.1,-0.1,-0.1,1
2019-03-12,CPI m/m,0.2,0.2,0.0,0.0,1
2019-04-10,CPI m/m,0.4,0.3,0.2,0.10000000000000003,1
2019-05-10,CPI m/m,0.3,0.4,0.4,-0.10000000000000003,1
2019-06-12,CPI m/m,0.1,0.1,0.3,0.0,1
2019-07-11,CPI m/m,0.1,0.0,0.1,0.1,1
2019-08-13,CPI m/m,0.3,0.3,0.1,0.0,1
2019-09-12,CPI m/m,0.1,0.1,0.3,0.0,1
2019-10-10,CPI m/m,0.0,0.1,0.1,-0.1,1
2019-11-13,CPI m/m,0.4,0.3,0.0,0.10000000000000003,1
2019-12-11,CPI m/m,0.3,0.2,0.4,0.09999999999999998,1
2020-01-14,CPI m/m,0.2,0.2,0.3,0.0,1
2020-02-13,CPI m/m,0.1,0.2,0.2,-0.1,1
2020-03-11,CPI m/m,0.1,0.0,0.1,0.1,1
2020-04-10,CPI m/m,-0.4,-0.3,0.1,-0.10000000000000003,1
2020-05-12,CPI m/m,-0.8,-0.7,-0.4,-0.10000000000000009,1
2020-06-10,CPI m/m,-0.1,0.0,-0.8,-0.1,1
2020-07-14,CPI m/m,0.6,0.5,-0.1,0.09999999999999998,1
2020-08-12,CPI m/m,0.6,0.3,0.6,0.3,1
2020-09-11,CPI m/m,0.4,0.3,0.6,0.10000000000000003,1
