Window,Mean_AUC,Median_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_Accuracy,Mean_Balanced_Accuracy,Folds,Above_050,Above_055
Expanding,0.5298877412204742,0.5283455433455433,0.05777561303691971,0.417420814479638,0.6774193548387096,0.5069444444444444,0.5180542974747362,36,24,12
5-Year Rolling,0.5324864989895006,0.5314545289269554,0.09206254253989886,0.3800904977375566,0.7897664071190211,0.49768518518518523,0.5111018737531183,36,23,13
10-Year Rolling,0.5386666921841864,0.5253727753727754,0.0630531510421502,0.4117647058823529,0.7196885428253615,0.5064814814814815,0.516212976453637,36,26,14
