Feature Set,Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Folds,Above_050,Above_055
Event Only,Logistic Regression,0.5104994049988574,0.07220985285700031,0.3677455357142857,0.667964404894327,65,37,19
Event Only,Random Forest,0.5063604956077735,0.0623008986226331,0.34040178571428575,0.6566666666666666,65,35,21
Event Only,XGBoost,0.5055461428315468,0.06957179610756734,0.3136818687430479,0.6674082313681868,65,38,13
Hybrid,Logistic Regression,0.5214545123906896,0.06582258010151655,0.3846153846153846,0.6464646464646465,65,39,26
Hybrid,Random Forest,0.5298466333630523,0.06477789579435908,0.40044493882091214,0.6811428571428572,65,41,25
Hybrid,XGBoost,0.5129686033189587,0.07648699250414293,0.3314794215795328,0.7341490545050056,65,34,20
Technical Only,Logistic Regression,0.5114954316055018,0.07159535933634266,0.3819444444444444,0.7755331088664422,65,33,17
Technical Only,Random Forest,0.5122917455254599,0.05740659553482917,0.3581757508342603,0.6722783389450057,65,40,16
Technical Only,XGBoost,0.49557792649103344,0.06930780355849094,0.3014460511679644,0.6651835372636262,65,29,12
